survey,pond,effort,dry,perm,season,month,year,date,species,abundance
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Ajun,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Along,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Arigomphus lentulus,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Arigomphus maxwelli,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Bjanata,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,C_igens,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Celithemis_Unidentified,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,CelithemisA,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,CelithemisF,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,CelithemisO,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Celithemis elisa,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Gomphus lividus,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Didymops_transversa,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Ebasidans,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Eheros,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Enalaspersum,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Enaldivagans,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Enaldubium,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Enalgeminatum,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Enalsignatum,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Enalvesperum,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Epitheca_cynosura,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Epitheca_princeps,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Epitheca_semiaquea,12
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Erythemis,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Erythrodiplax,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Iposita,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Iramburii,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Ladona,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Lestes_d_australis,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Lestes_inaequalis,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Lestes_vigilax,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,N_pentacantha,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Nehalennia,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Pachydiplax,1
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Pantala,1
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Perithemis_tenera,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Plathemis,8
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Sympetrum_ambiguum,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Telebasis,0
1,ANF  1-1,15,N,S,Su,Jul,2008,8-Jul,Tramea,3
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Ajun,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Along,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Arigomphus lentulus,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Arigomphus maxwelli,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Bjanata,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,C_igens,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Celithemis_Unidentified,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,CelithemisA,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,CelithemisF,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,CelithemisO,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Celithemis elisa,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Gomphus lividus,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Didymops_transversa,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Ebasidans,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Eheros,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Enalaspersum,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Enaldivagans,0
1,ANF 11-1,15,N,S,Su,Jul,2008,8-Jul,Enaldubium,0
