"","Ajun","Along","Bjanata","CelithemisF","CelithemisO","Enalaspersum","Enaldivagans","Enaldubium","Enalgeminatum","Enalsignatum","Enalvesperum","Epitheca_cynosura","Epitheca_semiaquea","Erythemis","Erythrodiplax","Gomphus lividus","Iposita","Ladona","Lestes_d_australis","Libellula","Nehalennia","Pachydiplax","Pantala","Perithemis_tenera","Plathemis","Telebasis","Tramea"
"N.1.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,8,0,3
"B.3.2008.Su",0,0,0,0,10,0,0,0,3,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,3
"B.5.2008.Su",0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,8,0,0,0,0,1,0,0,0,0,0
"G.6.2008.Su",0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,1,0,0,0,0,0
"G.7.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
"G.8.2008.Su",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"N.26.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0
"B.28.2008.Su",0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,28,0,0,0,0,4,0,0,0,0,0
"S.29.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,5,0,0,9,0,0
"G.31.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,1,0,0,0
"B.35.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.37.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,33,0,0
"B.10.2008.Su",0,0,0,0,0,0,0,1,6,0,0,0,6,5,0,0,15,0,0,0,0,1,0,0,0,1,2
"O.11.2008.Su",0,4,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,3,0,2,0,0,4,0,1
"S.12.2008.Su",0,1,1,0,0,12,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,5,0,0,1,0,5
"S.14.2008.Su",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"S.16.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,3,0,12
"B.17.2008.Su",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,9,13,0,3,0,0,0,0,0,0,1
"G.19.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,3,2,0,1,0,4,0,0,0,0,1
"B.20.2008.Su",0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,1,0,2,0,1,0,0,0
"N.22.2008.Su",0,4,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,1,0,0,0,0,11
"G.23.2008.Su",0,0,0,0,0,0,0,3,0,0,0,0,4,2,0,0,2,2,0,0,0,0,0,0,0,0,1
"S.27.2008.Su",0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,9,2,0,1,0,1,0,0,0,0,0
"G.30.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,1,0,0,0,0,0
"G.32.2008.Su",0,0,0,0,0,0,0,1,0,0,0,0,6,7,0,0,4,2,0,0,2,0,0,0,0,0,0
"G.33.2008.Su",0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,5,0,2,0,0,0,0,0,0,0
"G.34.2008.Su",0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"G.36.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.38.2008.Su",1,0,0,0,1,0,0,7,0,0,0,0,6,1,0,0,3,2,0,1,0,1,0,0,0,0,3
"G.39.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,8,0,1,0,0,0,0,0
"N.40.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,51,0,0,0,0,0
"O.41.2008.Su",2,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0
"N.42.2008.Su",0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,18,0,0,0,0,18,0,0,0,0,0
"B.43.2008.Su",0,0,0,0,1,0,0,5,0,0,0,0,4,7,0,0,2,5,0,5,0,1,0,0,0,0,1
"G.44.2008.Su",0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,0,0,0
"S.45.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,12,0,0,0,15,0
"B.46.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,4
"B.47.2008.Su",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,0,2,0,0,0,0,0,0,0
"O.48.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,0,1,0,2,0,0,0,2,0
"S.49.2008.Su",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,3,0,0,0,0,0
"N.1.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,0,2,0,1,0,0
"B.3.2008.F",1,0,0,27,0,0,1,0,0,2,0,0,7,6,0,0,1,0,0,22,0,0,0,0,0,0,2
"S.4.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"B.5.2008.F",0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,7,0,4,0,0,0,0,0
"G.6.2008.F",0,0,0,13,0,0,0,0,0,0,0,0,3,5,0,0,1,1,0,2,0,0,0,0,0,0,0
"G.7.2008.F",0,0,0,10,0,0,0,0,0,0,0,0,7,0,0,0,1,6,0,1,0,0,0,0,0,0,3
"G.8.2008.F",0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"G.9.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"N.26.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0
"B.28.2008.F",1,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,5,0,0,4,0,12,0,0,0,0,0
"S.29.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,11,0,0
"G.31.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,9,0,0,0,0,0
"B.35.2008.F",1,0,1,0,0,0,3,0,0,1,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0
"S.37.2008.F",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
"B.10.2008.F",0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,11,0,4,0,0,0,0,0
"O.11.2008.F",1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,0,12
"S.12.2008.F",0,0,0,0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,13,0,1,0,0,0,0,3
"B.13.2008.F",0,0,0,30,0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"S.14.2008.F",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
"B.15.2008.F",0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,4,0,0,0,0,6,0,0,0,0,0
"S.16.2008.F",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5,2,0,0,0,3
