"","dompred","season","year","emmean","SE","df","lower.CL","upper.CL","LowerSE","UpperSE"
"1","N","Sp","2008",0.949180878214554,0.336811738510615,319.948801225668,0.286535386109248,1.61182637031986,0.612369139703939,1.28599261672517
"2","S","Sp","2008",1.79215085418338,0.234528797842669,388.314843766316,1.33104568668954,2.25325602167722,1.55762205634071,2.02667965202605
"3","G","Sp","2008",1.39981207806733,0.193446788618751,315.895884362685,1.01920513227946,1.7804190238552,1.20636528944858,1.59325886668608
"4","B","Sp","2008",1.60000618917579,0.208498816354877,318.38909273433,1.18979670188447,2.01021567646711,1.39150737282091,1.80850500553067
"5","N","F","2008",1.5394938868635,0.27846307737966,194.08906493284,0.990291782178226,2.08869599154877,1.26103080948384,1.81795696424316
"6","S","F","2008",1.59951833774377,0.19431046012871,261.7832790336,1.21690796862231,1.98212870686523,1.40520787761506,1.79382879787248
"7","G","F","2008",1.17026967496972,0.160793279188149,194.012229080717,0.853142436435686,1.48739691350376,1.00947639578157,1.33106295415787
"8","B","F","2008",1.42347538884792,0.172872670429937,194.506826491854,1.0825298098844,1.76442096781144,1.25060271841798,1.59634805927786
"9","N","W","2009",1.86992437984006,0.260228524971487,155.420448911456,1.35588324150514,2.38396551817498,1.60969585486857,2.13015290481155
"10","S","W","2009",1.94669926673754,0.180582284392982,211.822248725174,1.59073068073038,2.3026678527447,1.76611698234456,2.12728155113052
"11","G","W","2009",1.77233020640011,0.150661330051107,157.124846225226,1.47474741645838,2.06991299634185,1.62166887634901,1.92299153645122
"12","B","W","2009",1.88979838490882,0.159651571329089,150.395182424807,1.5743487346274,2.20524803519024,1.73014681357973,2.04944995623791
"13","N","Sp","2009",0.878720853851618,0.263706062327967,162.542599573359,0.357989411207448,1.39945229649579,0.615014791523652,1.14242691617959
"14","S","Sp","2009",1.73153476551337,0.173112235019946,188.338174191818,1.39004669011494,2.0730228409118,1.55842253049342,1.90464700053332
"15","G","Sp","2009",1.39916653052471,0.153446500981961,166.659759082314,1.09621704617987,1.70211601486956,1.24572002954275,1.55261303150668
"16","B","Sp","2009",1.65121012847056,0.163747433164508,163.104051143681,1.32787195801125,1.97454829892987,1.48746269530605,1.81495756163506
"17","N","Su","2009",1.16432003505332,0.255641827362493,146.773726281842,0.659105676569043,1.66953439353759,0.908678207690823,1.41996186241581
"18","S","Su","2009",1.26728652026859,0.176663570605491,193.445599649421,0.91885242799701,1.61572061254017,1.0906229496631,1.44395009087408
"19","G","Su","2009",1.2659576183419,0.145698530339716,140.468460285671,0.977912171575816,1.55400306510798,1.12025908800218,1.41165614868162
"20","B","Su","2009",1.62912793145741,0.155929482026698,138.699658078094,1.32082177067462,1.93743409224019,1.47319844943071,1.78505741348411
"21","N","F","2009",1.46903386250056,0.264904558831285,165.144719529858,0.945997600019497,1.99207012498162,1.20412930366928,1.73393842133185
"22","S","F","2009",1.53890224907376,0.183454576493627,220.968396389282,1.17735770739912,1.9004467907484,1.35544767258013,1.72235682556739
"23","G","F","2009",1.16962412742711,0.147123137065828,145.120203433832,0.878843223031927,1.46040503182229,1.02250099036128,1.31674726449293
"24","B","F","2009",1.47467932814269,0.1559471068161,138.727739283055,1.16633886861607,1.7830197876693,1.31873222132659,1.63062643495879
"25","N","W","2010",1.58290017327721,0.260099998105778,155.660647128959,1.06911914054824,2.09668120600619,1.32280017517144,1.84300017138299
"26","S","W","2010",2.10343031139799,0.178915435442433,200.892500930635,1.75063718075034,2.45622344204565,1.92451487595556,2.28234574684043
