Pond,Season,Year,Body Length,Body Area
AN 12-1,F,2009,14.601,53.573
DC-8,F,2009,13.645,56.992
DC 6,F,2010,18.16,85.648
DC 6-1,F,2009,19.316,98.033
DC 6-1,Sp,2011,16.9515,67.095
DC 94-1,Sp,2011,16.783,68.332
DC 5,Sp,2009,18.746,69.14
DC 116-1,Sp,2011,17.63,71.637
DC 94-1,Sp,2011,17.343,73.961
DC 6-1,Sp,2011,16.628,75.23025
DC 19-2,Sp,2011,17.844,75.534
DC 6-1,Sp,2011,16.613,76.15375
DC 94-1,Sp,2011,17.493,76.87
DC 29-4,Sp,2011,17.805,79.566
DC 6-1,Sp,2011,18.0295,79.778
DC 6-1,Sp,2011,18.107,80.07225
DC 101-1,Sp,2011,19.136,81.604
DC 19-2,Sp,2011,18.249,82.142
AN 12-1,Sp,2011,18.104,82.398
DC 6-1,Sp,2011,18.573,82.4815
DC 87-1,Sp,2009,18.325,82.952
DC 19-2,Sp,2011,18.965,83.377
DC 78-1,Sp,2011,18.846,83.69
DC 19-2,Sp,2011,18.68,83.761
AN 13-2,Sp,2011,17.432,84.721
DC 78-1,Sp,2011,17.192,85.266
DC 6-1,Sp,2011,18.623,85.338
DC 15-3,Sp,2011,18.64,85.888
DC 19-1,Sp,2011,18.4905,85.928
DC 19-1,Sp,2011,18.17,86.0825
AN 12-1,Sp,2011,18.508,86.256
DC 29-4,Sp,2011,18.541,86.353
AN 13-2,Sp,2011,18.173,86.7
DC 78-1,Sp,2011,19.075,86.785
DC 29-4,Sp,2011,19.437,86.994
DC 13-1,Sp,2010,17.423,87.016
AN 17-1,Sp,2011,18.156,87.113
DC 94-1,Sp,2011,19.7,87.184
DC 13-1,Sp,2010,17.951,87.985
DC 94-1,Sp,2011,19.086,88.659
DC 5,Sp,2011,18.634,89.174
DC 78-1,Sp,2011,18.578,89.463
DC34-3,Sp,2011,19.534,89.538
DC34-3,Sp,2011,19.672,90.099
DC 17-2,Sp,2011,18.838,90.225
DC 19-1,Sp,2011,17.8985,90.74725
DC 78-1,Sp,2011,18.439,91.044
DC 19-1,Sp,2011,18.4165,91.07325
DC 13-1,Sp,2010,19.041,91.321
DC 5,Sp,2011,19.208,91.48
DC 29-4,Sp,2011,19.075,91.614
DC34-3,Sp,2011,19.178,92.164
DC 29-4,Sp,2011,18.734,92.255
DC 55-1,Sp,2011,19.836,92.314
DC 13-1,Sp,2010,19.077,92.398
DC 78-1,Sp,2011,18.437,93.028
AN 12-1,Sp,2011,20.838,93.188
AN 17-1,Sp,2011,19.663,93.379
DC 13-1,Sp,2010,21.445,95.131
DC 19-2,Sp,2011,19.698,95.764
DC 34-3,Sp,2011,21.247,96.169
AN 13-1,Sp,2011,20.399,96.281
DC 17-2,Sp,2011,19.465,96.504
DC 101-1,Sp,2011,19.964,96.967
DC 34-3,Sp,2011,18.9,96.98
DC 36-1,Sp,2010,20.706,98.105
DC 13-1,Sp,2010,21.49,99.193
DC 19-1,Sp,2011,19.4875,99.63675
DC 55-1,Sp,2011,20.579,100.093
AN 12-1,Sp,2011,21.241,101.931
DC 17-2,Sp,2011,20.126,101.999
DC 34-3,Sp,2011,20.392,102.081
DC 101-1,Sp,2011,20.92,102.143
DC 78-1,Sp,2011,20.191,102.299
DC 17-2,Sp,2011,19.768,103.804
DC 34-3,Sp,2011,20.21,104.787
DC 19-1,Sp,2011,19.9125,105.0195
AN 17-1,Sp,2011,20.947,106.272
DC 55-1,Sp,2011,22.236,106.281
DC34-3,Sp,2011,21.842,106.444
DC 17-2,Sp,2011,20.723,106.497
DC 15-3,Sp,2009,21.779,106.853
DC 5,Sp,2011,23.257,106.98
AN 1-1,Sp,2009,21.506,107.772
DC 34-3,Sp,2010,22.407,108.557
AN 1-1,Sp,2009,22.314,109.082
DC 68-1,Sp,.,23.423,110.86
DC 114-1,Sp,2009,23.556,112.014
DC 101-1,Sp,2010,21.99,114.219
DC 17-2,Sp,2011,23.206,117.053
DC 34-3,Sp,2009,22.951,118.078
DC 8,Sp,2009,21.226,120.005
DC 19-1,Sp,2011,23.699,122.65125
DC 101-1,Sp,2011,23.288,122.818
DC 55-1,Sp,2011,23.825,122.902
AN 13-2,Sp,2011,23.712,123.167
DC 101-1,Sp,2011,23.73,129.898
DC 55-1,Sp,2011,24.153,140.045
DC 15-3,Sp,2011,17.115,77.501
DC 76-1,Su,2009,17.825,70.487
DC 76-1,Su,2009,17.324,75.454
DC 13-1,Su,2010,17.93,85.675
DC 15-2,Su,2009,20.016,88.879
DC 15-2,Su,2009,20.18,91.506
DC 15-2,Su,2009,19.781,97.625
DC 15-2,Su,2009,21.484,100.375
DC 7,Su,2009,20.388,101.993
