pond,dompred,Pondnum,area,depth,veg,canopy
ANF  1-1,N,1,345.9,45,1,4
ANF 11-1,S,2,555.8,170,3,2
ANF 13-1,B,3,503.7,70,0,3
ANF 13-2,S,4,188.2,105,1,3
ANF 17-1,B,5,551.4,165,0,3
ANF 66-1,G,6,326.3,141,1,3
ANF 67-1,G,7,293.1,120,4,1
ANF 84-1,G,8,624.9,150,3,1
ANF 85-1,G,9,276.8,150,0,3
DC 10-1,B,10,563.5,130,4,4
DC 15-2,S,12,138.4,130,4,4
DC 15-3,B,13,921.4,170,3,3
DC 17-2,S,14,55.7,80,1,3
DC 18-1,B,15,1393.1,160,2,3
DC 19-1,S,16,246.2,45,1,4
DC 19-2,B,17,1007.5,180,4,3
DC 29-1,G,18,1303,160,4,2
DC 29-2,G,19,270.1,130,4,4
DC 29-4,B,20,1659.7,240,3,3
DC 29-5,S,21,2141.9,40,1,5
DC 34-3,N,22,60.5,40,4,3
DC 36-1,G,23,219.4,130,3,4
DC 36-2,S,24,364.3,58,2,4
DC 36-3,S,25,159.6,65,5,1
DC 5,N,26,547.1,160,1,4
DC 55-1,S,27,253.1,45,5,3
DC 6,B,28,316,100,4,3
DC 6-1,S,29,29.2,45,1,4
DC 68-1,G,30,2324,120,4,2
DC 7,G,31,257.2,105,3,4
DC 76-1,G,32,1250.5,175,2,2
DC 76-2,G,33,382.6,195,2,4
DC 78-1,G,34,497.1,190,3,2
DC 8,B,35,1704.9,190,5,3
DC 81-1,G,36,232.4,165,4,4
DC 8-2,S,37,24.9,18,2,2
DC 82-1,B,38,1343.5,175,4,3
DC 87-1,G,39,640.6,185,3,4
DC 94-1,N,40,118.4,140,2,4
DC108-1,N,42,231.1,160,5,4
DC114-1,B,43,1894.2,285,3,3
DC114-2,G,44,74.3,70,2,3
DC114-3,S,45,96.5,140,2,4
DC115-1,B,46,991.2,225,3,2
DC116-1,B,47,830.9,180,2,3
DC121-1,S,49,842.6,165,4,2
