"ID","Body_A","Body_L","Body_H","Eye_A","Gape_W","Head_W","InterEye_W","Leg1st_L","Leg3rd_L","InterLeg_W","Thorax_W","Mentum_L"
"B.1.3",37.0975724637681,12.3798289855072,2.78216086956522,0.574773913043478,2.93313333333333,4.07704927536232,2.71631449275362,4.47557826086957,7.7664768115942,2.41245797101449,2.94978695652174,2.15583333333333
"B.1.5",44.2246911904762,13.4681273809524,2.45890428571429,0.398234285714286,2.51213047619048,4.00828857142857,2.85748619047619,4.62869071428571,7.95136547619048,2.25074357142857,3.03909333333333,1.93392071428571
"B.1.10",34.7547016731017,12.5064420849421,2.37787863577864,0.474838095238095,2.42395778635779,3.80320682110682,2.64463500643501,4.04129703989704,7.14294157014157,2.04361042471042,2.78662432432432,1.90184208494208
"B.1.17",51.5293963875205,15.1736042692939,3.37551297208539,0.371218719211823,2.87559671592775,4.07387536945813,2.80549523809524,5.19660311986864,7.68078981937603,2.87121330049261,3.55244597701149,2.14672840722496
"B.1.20",50.8074803921569,14.1344490196078,2.78539607843137,0.4263,2.78773333333333,4.25239803921569,2.98265490196078,4.94837843137255,8.32870196078431,2.6388862745098,3.36410980392157,2.15645098039216
"B.1.28",20.9513926065163,11.4030273182957,1.56746829573935,0.367520050125313,1.77838546365915,3.24744273182957,2.2917969924812,3.36090187969925,5.46253020050125,1.14395764411028,2.07798859649123,1.62449398496241
"B.1.35",77.1128333333333,16.2223333333333,3.78416666666667,0.465333333333333,3.60266666666667,5.14033333333333,3.6795,6.356,11.3911666666667,3.88283333333333,4.47016666666667,2.402
"B.1.38",57.8605205128205,15.650608974359,3.07633205128205,0.768953846153846,3.03287564102564,4.43853846153846,2.90624358974359,5.29636923076923,8.77057435897436,2.66685769230769,3.40319102564103,2.46893974358974
"B.1.43",56.8911637480799,15.0576866359447,3.71828755760369,0.56584024577573,3.25280184331797,4.48389339477727,2.90208310291859,5.22996298003072,8.81048786482335,3.38186973886329,3.88801290322581,2.37744577572965
"B.1.46",81.7897727272727,18.6962121212121,4.63507575757576,0.812,4.36242424242424,5.39509090909091,3.56798484848485,7.1574696969697,10.6714393939394,4.24790909090909,4.74984848484848,3.01839393939394
"B.1.47",50.5257533333333,14.56655,3.40206333333333,0.40648,2.95059333333333,4.13066666666667,2.76668333333333,4.95707666666667,7.68526,2.97599666666667,3.59851333333333,2.21091
"B.2.3",67.4363758454106,16.0356787439614,4.02614251207729,0.749224154589372,3.72596328502415,5.04576231884058,3.19950724637681,5.83743913043478,9.84523623188406,3.76439371980676,4.18582512077295,2.83893285024155
"B.2.5",77.3503333333333,16.6688796296296,3.8655462962963,0.540324074074074,3.68831018518519,5.16610648148148,3.52874537037037,6.31423611111111,10.6236111111111,3.89131018518519,4.5057037037037,2.63875462962963
"B.2.10",74.1337121212121,16.7547181818182,4.13736666666667,0.655875757575758,3.78768787878788,5.07079242424242,3.1779,5.84755757575758,9.30877727272727,4.01576060606061,4.59097878787879,2.89479545454545
"B.2.13",42.3792023809524,13.3448849206349,3.25767063492063,0.645884920634921,3.06788492063492,4.4883373015873,2.90291666666667,5.06754365079365,8.94862301587301,2.8256746031746,3.14358333333333,2.38052777777778
"B.2.15",66.6935738095238,15.5189166666667,3.3309369047619,0.545548809523809,3.28977023809524,4.87589642857143,3.34995595238095,5.81529047619048,9.87039285714286,3.29661547619048,3.99706904761905,2.40930119047619
"B.2.17",39.0565647619048,12.94016,2.74753619047619,0.493590476190476,2.66074666666667,4.10276285714286,2.79964666666667,4.65139619047619,8.12641714285714,2.37128857142857,2.91032095238095,2.10297047619048
