"dompred","season","response","SE","df","asymp.LCL","asymp.UCL"
"N","W",0.137787239174815,0.0208768948067048,Inf,0.106238224528586,0.195989108409165
"S","W",0.26272311403567,0.0358323139934479,Inf,0.207306742087063,0.35857620724774
"G","W",0.1181930279214,0.00756798235899195,Inf,0.105013995514025,0.135154647903681
"B","W",0.151200066033949,0.0126702938520761,Inf,0.129870023707568,0.180913575905755
"N","Sp",0.128648752451619,0.0201865905992294,Inf,0.0983897106889557,0.185785839676748
"S","Sp",0.257241490314657,0.0342008315844658,Inf,0.204065719423956,0.347897062044407
"G","Sp",0.135713297854688,0.00971899067643837,Inf,0.119009052848997,0.157872453672343
"B","Sp",0.162486230783862,0.0149625020058125,Inf,0.137643881712372,0.198270670675245
"N","Su",0.129592120428649,0.0175850354464507,Inf,0.102366855926308,0.176545873859054
"S","Su",0.188655373533695,0.0188791142388233,Inf,0.157720480594837,0.234686108497362
"G","Su",0.0982311996660257,0.00499754338229957,Inf,0.0893243321288799,0.10911107865602
"B","Su",0.10224189407241,0.00592311224329431,Inf,0.091816555597944,0.115337979739224
"N","F",0.129311958560557,0.0183268847916502,Inf,0.101200635260906,0.179047414758775
"S","F",0.184907762163854,0.0183835041000155,Inf,0.154752743490877,0.229658956689905
"G","F",0.0944412644261095,0.0046978808085094,Inf,0.0860515533248717,0.104643635396001
"B","F",0.0866749665744228,0.00445151168125232,Inf,0.078748092347537,0.0963763184699028
