"","year","dompred","contrast","response","SE","df","asymp.LCL","asymp.UCL"
"1","2008","N",".",0.178963649031322,0.03508633101478,Inf,0.109611726103984,0.487248146597247
"2","2008","S",".",0.295537104189399,0.0480847565720018,Inf,0.193784919042484,0.622285478060214
"3","2008","G",".",0.135994599532768,0.0107330403680156,Inf,0.108388114085478,0.18246968299174
"4","2008","B",".",0.180721725226334,0.0203805839163203,Inf,0.132499368802351,0.284128659115918
"5","2009","N",".",0.141318504148804,0.0198520162115351,Inf,0.0972363647237842,0.258517503253917
"6","2009","S",".",0.186539613380412,0.0180037206533538,Inf,0.142236782825699,0.270925392690806
"7","2009","G",".",0.119342882124223,0.00705762694294082,Inf,0.100216613164552,0.147491536372909
"8","2009","B",".",0.123290126965903,0.00811081088283217,Inf,0.101698765953335,0.156520533600277
"9","2010","N",".",0.117208833160442,0.014880895071044,Inf,0.0831427914462722,0.198567949677097
"10","2010","S",".",0.227063473697536,0.0260474247653227,Inf,0.165714594414251,0.360537283751277
"11","2010","G",".",0.0954360130081669,0.00491470475607385,Inf,0.0818355011765741,0.114458198495957
"12","2010","B",".",0.114239111391484,0.00724694453247159,Inf,0.0948259715674079,0.143647101935709
"13","2011","N",".",0.107706679585508,0.0161004468413757,Inf,0.0726560710978831,0.208095942091852
"14","2011","S",".",0.19033256883729,0.0201296903731649,Inf,0.141900229703351,0.288957363576994
"15","2011","G",".",0.0962723641470877,0.00484751142359566,Inf,0.082815144823625,0.114951675988856
"16","2011","B",".",0.0855555349582045,0.00434583448836036,Inf,0.0735058585067524,0.102330356959832
"17","2008",".","N - S",0.453708766872903,0.252017396065355,Inf,0.16246862970163,Inf
"18","2008",".","N - G",Inf,Inf,Inf,0.448253138280978,Inf
"19","2008",".","N - B",18.3965970857812,424.212258349138,Inf,0.24393063696302,Inf
"20","2008",".","S - G",Inf,Inf,Inf,Inf,Inf
"21","2008",".","S - B",Inf,Inf,Inf,1.87832340623527,Inf
"22","2008",".","G - B",0.549491572908338,0.257498428678453,Inf,0.218719325142046,Inf
"23","2009",".","N - S",0.582946760381331,0.380467545025276,Inf,0.187666877698185,Inf
"24","2009",".","N - G",Inf,Inf,Inf,0.438651818487314,Inf
"25","2009",".","N - B",Inf,Inf,Inf,0.387277441890912,Inf
"26","2009",".","S - G",Inf,Inf,Inf,Inf,Inf
"27","2009",".","S - B",Inf,Inf,Inf,Inf,Inf
"28","2009",".","G - B",3.72761246888105,10.1318092307929,Inf,0.381469550528307,Inf
"29","2010",".","N - S",0.242264183609599,0.0700977479280912,Inf,0.125280305159578,3.65831362276508
"30","2010",".","N - G",Inf,Inf,Inf,0.510326691788699,Inf
"31","2010",".","N - B",Inf,Inf,Inf,0.271124937597187,Inf
"32","2010",".","S - G",Inf,Inf,Inf,Inf,Inf
"33","2010",".","S - B",Inf,Inf,Inf,Inf,Inf
"34","2010",".","G - B",0.579825999872032,0.26072311553358,Inf,0.236553313789715,Inf
"35","2011",".","N - S",0.248107332847888,0.0920152303404501,Inf,0.112936526523263,Inf
"36","2011",".","N - G",Inf,Inf,Inf,0.271529230761218,Inf
"37","2011",".","N - B",Inf,Inf,Inf,0.406384584101717,Inf
"38","2011",".","S - G",Inf,Inf,Inf,Inf,Inf
"39","2011",".","S - B",Inf,Inf,Inf,Inf,Inf
"40","2011",".","G - B",Inf,Inf,Inf,0.795446452286564,Inf
