"","dompred","season","response","SE","df","asymp.LCL","asymp.UCL"
"1","N","W_Sp",0.0964969739107109,0.0170331566066442,Inf,0.071693635461363,0.147540521419739
"2","S","W_Sp",0.183724458896348,0.0321811212006191,Inf,0.136770298450297,0.279772094795316
"3","G","W_Sp",0.142935644681998,0.0205887773062472,Inf,0.111466639688351,0.199162838566342
"4","B","W_Sp",0.210195547644152,0.0387715856873957,Inf,0.154382455307711,0.329214917920404
"5","N","Sp_Su",0.0772404021595765,0.0135888620429879,Inf,0.0574356912766723,0.117891052693863
"6","S","Sp_Su",0.200746138211762,0.035979997601276,Inf,0.148559221700432,0.309452907591952
"7","G","Sp_Su",0.122038412513994,0.0171811240272398,Inf,0.0956464364712931,0.168545667634112
"8","B","Sp_Su",0.152460804495446,0.0250417935191557,Inf,0.115332376920328,0.224843721025223
"9","N","Su_F",0.0550539426572319,0.00995769614425295,Inf,0.0406451580002579,0.0852890820145738
"10","S","Su_F",0.217326060668772,0.0407517014859984,Inf,0.158919737365326,0.343609863484089
"11","G","Su_F",0.155661321467844,0.023607492052519,Inf,0.1199936033763,0.221502126021794
"12","B","Su_F",0.194868171809343,0.0360350238216751,Inf,0.143029171591251,0.305645145345078
"13","N","F_W",0.0994645650401259,0.0160045474066172,Inf,0.0756170625410009,0.145282637696145
"14","S","F_W",0.14390945063192,0.0199455049386748,Inf,0.113167827740742,0.197581824240259
"15","G","F_W",0.0805656817532606,0.00734290566583795,Inf,0.0683550875786789,0.0980875220022594
"16","B","F_W",0.0946796701124352,0.0096161272662673,Inf,0.0789613502095358,0.118211201348567
