"","X","latin","Body_A","Body_L","Body_H","Eye_A","Gape_W","Head_W","InterEye_W","Leg1st_L","Leg3rd_L","InterLeg_W","Thorax_W","Mentum_L","veg","species","suborder","family"
"Ajun","Ajun","Anax junius",250.652833333333,41.3725,5.43,5.71433333333333,4.7065,8.14033333333333,3.15466666666667,8.85833333333333,13.8838333333333,2.63583333333333,5.79616666666667,8.2765,"vegetation","Ajun","Anisoptera","Aeshnidae"
"Along","Along","Anax longipes",367.099333333333,49.4571666666667,6.09083333333333,8.48883333333333,6.365,9.6545,3.6396,13.075,21.561,2.56583333333333,7.09366666666667,11.7488333333333,"vegetation","Along","Anisoptera","Aeshnidae"
"Bjanata","Bjanata","Basiaeschna janata",123.503,27.249,4.882,3.689,3.668,6.977,2.684,6.899,9.438,2.001,4.993,3.931,"woody debris","Bjanata","Anisoptera","Aeshnidae"
"CelithemisF","CelithemisF","Celithemis fasciata",49.1543333333333,13.8363333333333,3.854,0.785666666666667,3.57683333333333,4.98466666666667,3.12016666666667,5.58916666666667,10.0168333333333,3.43183333333333,3.53766666666667,2.68366666666667,"vegetation","CelithemisF","Anisoptera","Libellulidae"
"CelithemisO","CelithemisO","Celithemis ornata/verna",32.5349,10.7765,3.018,0.4984,3.0728,4.1043,2.6243,4.4035,8.1091,2.665,2.9376,2.1699,"vegetation","CelithemisO","Anisoptera","Libellulidae"
"Eheros","Eheros","Epiaeschna heros",291.565,42.7446,6.6536,4.264,4.6026,9.313,3.7062,8.8618,11.7636,2.6268,6.726,5.989,"woody debris","Eheros","Anisoptera","Aeshnidae"
"Enalaspersum","Enalaspersum","Enallagma aspersum",13.0296,11.4002,1.2426,0.2866,1.4148,2.868,2.1142,3.0688,5.2314,0.637,1.6094,1.4868,"vegetation","Enalaspersum","Zygoptera","Coenagrionidae"
"Enaldivagans","Enaldivagans","Enallagma divigans",14.123,9.712,1.2474,0.169,1.3452,2.8472,2.2416,2.9926,5.0698,0.7624,1.7052,1.3098,"vegetation","Enaldivagans","Zygoptera","Coenagrionidae"
"Enaldubium","Enaldubium","Enallagma dubium",12.2564285714286,11.7608571428571,1.26914285714286,0.332142857142857,1.38157142857143,2.72628571428571,1.82642857142857,3.20685714285714,5.19957142857143,0.664285714285714,1.443,1.48685714285714,"vegetation","Enaldubium","Zygoptera","Coenagrionidae"
"Enalgeminatum","Enalgeminatum","Enallagma geminatum",12.001,10.8558,1.1694,0.2126,1.5188,2.8616,2.2008,2.8036,4.6236,0.7184,1.6482,1.556,"vegetation","Enalgeminatum","Zygoptera","Coenagrionidae"
