pond,perm
ANF  1-1,S
ANF 11-1,S
ANF 13-1,P
ANF 13-2,P
ANF 17-1,P
ANF 66-1,P
ANF 67-1,P
ANF 84-1,P
ANF 85-1,P
DC 5,P
DC 6,P
DC 6-1,S
DC 7,P
DC 8,P
DC 8-2,S
DC 10-1,P
DC 13-1,P
DC 15-2,P
DC 15-3,P
DC 17-2,S
DC 18-1,P
DC 19-1,S
DC 19-2,P
DC 29-1,P
DC 29-2,P
DC 29-4,P
DC 29-5,T
DC 34-3,S
DC 36-1,P
DC 36-2,T
DC 36-3,T
DC 55-1,S
DC 68-1,P
DC 76-1,P
DC 76-2,P
DC 78-1,P
DC 81-1,P
DC 82-1,P
DC 87-1,P
DC 94-1,P
DC101-1,S
DC108-1,P
DC114-1,P
DC114-2,P
DC114-3,P
DC115-1,P
DC116-1,P
DC120-1,P
DC121-1,S
