"dompred","season","avgdist","asymp.LCL","asymp.UCL"
"B","F",0.0912946069320299,0.02905405,0.2277754
"B","Sp",0.149730458488389,0.02333577,0.4645998
"B","Su",0.106531822339602,0.02453869,0.308050636542133
"B","W",0.141350274816608,0.02605965,0.35511871414731
"G","F",0.0990611018884731,0.0257505115509233,0.2827802
"G","Sp",0.133442255953014,0.02069859,0.3461153
"G","Su",0.10260862424351,0.03118757,0.2685336
"G","W",0.116653943052566,0.02695992,0.3091444
"S","F",0.208302802669656,0.0454987399495254,0.5369451
"S","Sp",0.243085215007838,0.0420092,0.681055737964932
"S","Su",0.195990358292331,0.0279588238918779,0.51854546246523
"S","W",0.254502905194533,0.0476028616215403,0.6220751
